model,accuracy,F1.5-score,F1-score,F2-score,recall,precision,tn,fp,fn,tp
convbilstm0,0.9383333333333334,0.7945508100147276,0.7708978328173376,0.8084415584415584,0.8355704697986577,0.7155172413793104,2003,99,49,249
convlstm2,0.9245833333333332,0.7918017600741084,0.7439886845827439,0.8213616489693941,0.8825503355704698,0.6430317848410758,1956,146,35,263
convlstm0,0.9383333333333334,0.7796101949025487,0.7643312101910829,0.7884362680683312,0.8053691275167785,0.7272727272727273,2012,90,58,240
lstm3,0.9379166666666666,0.7788317523714429,0.7631160572337042,0.7879185817465529,0.8053691275167785,0.7250755287009063,2011,91,58,240
ridge,0.93875,0.7769964841788045,0.7640449438202248,0.7844429795649308,0.7986577181208053,0.7323076923076923,2015,87,60,238
emb2,0.9341666666666668,0.7735802469135804,0.7531249999999999,0.7855280312907431,0.8087248322147651,0.7046783625730995,2001,101,57,241
bilstm4,0.9420833333333334,0.7694287184765827,0.7679465776293823,0.7702612190221031,0.7718120805369127,0.7641196013289037,2031,71,68,230
convlstm1,0.935,0.7666166916541729,0.7515923566878979,0.7752956636005257,0.7919463087248322,0.7151515151515152,2008,94,62,236
logreg,0.93625,0.7637418053454362,0.7528271405492729,0.7699933906146729,0.7818791946308725,0.7258566978193146,2014,88,65,233
mlp2scaled,0.93125,0.7580645161290323,0.7401574803149606,0.7684761281883585,0.7885906040268457,0.6973293768545994,2000,102,63,235
emb3,0.92625,0.7576493443419134,0.7305936073059361,0.7736943907156673,0.8053691275167785,0.6685236768802229,1983,119,58,240
bilstm0,0.9375,0.7519280205655526,0.7499999999999999,0.7530120481927711,0.7550335570469798,0.7450331125827815,2025,77,73,225
bilstm3,0.9375,0.7519280205655526,0.7499999999999999,0.7530120481927711,0.7550335570469798,0.7450331125827815,2025,77,73,225
lstm1,0.9341666666666668,0.7511403953370501,0.7426710097719871,0.7559681697612731,0.7651006711409396,0.7215189873417721,2014,88,70,228
lstm2,0.9295833333333332,0.7446223111555778,0.7304625199362041,0.7527942143326759,0.7684563758389261,0.6960486322188449,2002,100,69,229
smpl0,0.9279166666666666,0.7434112381899552,0.7266982622432859,0.7531106745252127,0.7718120805369127,0.6865671641791045,1997,105,68,230
lstm0,0.9225,0.7425862907146329,0.7164634146341463,0.7580645161290324,0.7885906040268457,0.6564245810055865,1979,123,63,235
convbilstm1,0.9204166666666668,0.7424096385542168,0.7127819548872181,0.7601026298909558,0.7953020134228188,0.6457765667574932,1972,130,61,237
lstm4,0.9316666666666666,0.7376590330788804,0.7311475409836067,0.7413563829787234,0.7483221476510067,0.7147435897435898,2013,89,75,223
bilstm2,0.9333333333333332,0.737044638276039,0.7342192691029901,0.7386363636363636,0.7416107382550335,0.7269736842105263,2019,83,77,221
bilstm1,0.9383333333333334,0.7351394003156233,0.7439446366782008,0.7302989130434783,0.7214765100671141,0.7678571428571429,2037,65,83,215
bilstm1,0.9383333333333334,0.7332630469161834,0.7430555555555556,0.7278911564625851,0.7181208053691275,0.7697841726618705,2038,64,84,214
mlp5,0.94,0.7325890483785219,0.7464788732394365,0.7250341997264022,0.7114093959731543,0.7851851851851852,2044,58,86,212
smpl1,0.9254166666666668,0.7283641820910456,0.7145135566188199,0.7363576594345825,0.7516778523489933,0.6808510638297872,1997,105,74,224
mlp0maxabs,0.9416666666666668,0.7280560043080236,0.7482014388489208,0.7172413793103448,0.6979865771812079,0.8062015503875969,2052,50,90,208
mlp3,0.9379166666666666,0.7268150503444621,0.7390542907180385,0.7201365187713309,0.7080536912751678,0.7728937728937729,2040,62,87,211
mlp2,0.93875,0.7264502394890899,0.7407407407407407,0.7186858316221766,0.7046979865771812,0.7806691449814126,2043,59,88,210
mlp0,0.94,0.7229983879634606,0.7419354838709676,0.712809917355372,0.6946308724832215,0.7961538461538461,2049,53,91,207
mlp2maxabs,0.93875,0.7148247978436657,0.7351351351351352,0.7039337474120083,0.6845637583892618,0.7937743190661478,2049,53,94,204
mlp1,0.9395833333333332,0.7124253933803579,0.7358834244080146,0.6999306999306999,0.6778523489932886,0.8047808764940239,2053,49,96,202
mlp3scaled,0.9320833333333334,0.7123754588358678,0.7194492254733218,0.7084745762711864,0.7013422818791947,0.7385159010600707,2028,74,89,209
mlp4scaled,0.9308333333333332,0.7101411395713539,0.7157534246575343,0.7070365358592693,0.7013422818791947,0.7307692307692307,2025,77,89,209
mlp1maxabs,0.9391666666666668,0.7096686583378599,0.7335766423357664,0.6969486823855756,0.674496644295302,0.804,2053,49,97,201
mlp0scaled,0.9191666666666668,0.7030545818728091,0.6900958466453675,0.7105263157894737,0.7248322147651006,0.6585365853658537,1990,112,82,216
mlp1scaled,0.8958333333333334,0.6782873186710342,0.6408045977011495,0.7012578616352199,0.7483221476510067,0.5603015075376885,1927,175,75,223
emb0,0.92,0.6558372952984681,0.6655052264808362,0.6505449591280653,0.6409395973154363,0.6920289855072463,2017,85,107,191
mlp4,0.93125,0.6474538332400672,0.6833013435700576,0.6289752650176679,0.5973154362416108,0.7982062780269058,2057,45,120,178
baseline,0.9366666666666666,0.6413733410271206,0.6923076923076924,0.6159942363112392,0.5738255033557047,0.8724489795918368,2077,25,127,171
mlp5scaled,0.7820833333333334,0.6210762331838564,0.5143918291550604,0.7026889903602233,0.929530201342282,0.355584082156611,1600,502,21,277
textcat,0.7766666666666666,0.619679945522642,0.5109489051094891,0.7035175879396984,0.9395973154362416,0.3508771929824561,1584,518,18,280
emb1,0.91125,0.6013986013986016,0.6175942549371635,0.5926946933149553,0.5771812080536913,0.6640926640926641,2015,87,126,172
fasttext,0.7679166666666667,0.5915155661991105,0.4885215794306704,0.670700958144226,0.8926174496644296,0.33628318584070804,1577,525,32,266
cld3,0.5808333333333333,0.4730007714065313,0.36005089058524176,0.5738037307380374,0.9496644295302014,0.2221350078492936,1111,991,15,283
